distrito,poblacion,anio_dato,fuente
San Juan de Lurigancho,1264060,2024,"INEI (El Comercio / Gestión - aniversario de Lima 2024)"
San Martín de Porres,800800,2024,"INEI (estimado a partir de 7.7% de la población de Lima)"
Ate,738400,2024,"INEI (estimado a partir de 7.1% de la población de Lima)"
Comas,603200,2024,"INEI (estimado a partir de 5.8% de la población de Lima)"
Villa María del Triunfo,457600,2024,"INEI (estimado a partir de 4.4% de la población de Lima)"
Villa El Salvador,447200,2024,"INEI (estimado a partir de 4.3% de la población de Lima)"
Surco,437028,2024,"INEI (aniversario de Lima 2024)"
San Juan de Miraflores,433709,2024,"INEI (aniversario de Lima 2024)"
Puente Piedra,436800,2024,"INEI (estimado a partir de 4.2% de la población de Lima)"
Los Olivos,392000,2023,"Proyección INEI"
Chorrillos,351582,2020,"Municipalidad de Chorrillos / INEI"
Cercado de Lima,271814,2015,"INEI (dato más reciente disponible en fuentes consultadas)"
La Victoria,171779,2015,"INEI (dato más reciente disponible en fuentes consultadas)"
Independencia,223085,2020,"INEI"
Rímac,184082,2024,"INEI (aniversario del Rímac, cuenta oficial INEI)"
Callao,406760,2023,"INEI (Cercado del Callao, 39.6% de la Provincia Constitucional del Callao)"
San Isidro,60735,2017,"Censo INEI 2017"
Miraflores,81932,2015,"INEI (dato más reciente disponible en fuentes consultadas)"
