id,usuario_id,categoria,descripcion,latitud,longitud,distrito,estado,created_at,zona,peso_estado
1,35,Robo,Sustracción de autopartes en la cuadra,-12.222534,-76.940923,Villa El Salvador,RECHAZADO,2026-07-04 00:30:00,1,0.0
2,15,Bache,Pista deteriorada genera accidentes,-12.17094,-77.021719,Chorrillos,VERIFICADO,2026-06-03 19:59:00,3,1.0
3,6,Alumbrado deficiente,Poste sin luz hace varias semanas,-12.166607,-76.941017,Villa María del Triunfo,VERIFICADO,2026-06-30 00:15:00,1,1.0
4,1,Robo,Sustrajeron mi celular en la calle,-12.220713,-76.9402,Villa El Salvador,PENDIENTE,2026-05-18 22:06:00,1,0.5
5,12,Acoso,Acoso a estudiantes cerca del colegio,-12.072284,-77.011307,La Victoria,PENDIENTE,2026-07-03 23:25:00,0,0.5
6,52,Extorsión,Cobro de cupo a transportista,-11.941691,-77.054217,Comas,PENDIENTE,2026-05-18 02:28:00,5,0.5
7,49,Bache,Vía con múltiples baches tras las lluvias,-11.861938,-77.082896,Puente Piedra,PENDIENTE,2026-06-05 12:28:00,4,0.5
8,43,Robo,Me quitaron la mochila en el paradero,-12.093449,-77.044747,San Isidro,PENDIENTE,2026-05-14 08:31:00,0,0.5
9,43,Alumbrado deficiente,Farol malogrado en el parque,-12.131732,-77.000607,Surco,VERIFICADO,2026-06-09 22:32:00,3,1.0
10,47,Bache,Pista deteriorada genera accidentes,-11.98879,-77.082419,San Martín de Porres,PENDIENTE,2026-06-18 17:53:00,2,0.5
11,24,Acoso,Comentarios y seguimiento a una persona en la calle,-12.024672,-77.031882,Rímac,PENDIENTE,2026-05-21 01:05:00,6,0.5
12,19,Bache,Pista deteriorada genera accidentes,-12.047796,-77.036938,Cercado de Lima,VERIFICADO,2026-07-23 01:41:00,6,1.0
13,11,Extorsión,Cobro de cupo a transportista,-12.154113,-76.97198,San Juan de Miraflores,VERIFICADO,2026-06-06 23:57:00,3,1.0
14,19,Robo,Robo a mano armada a un transeúnte,-12.030065,-77.035289,Rímac,VERIFICADO,2026-06-24 15:40:00,6,1.0
15,35,Bache,Hueco profundo sin señalizar,-11.985707,-77.044855,Independencia,PENDIENTE,2026-05-17 14:27:00,2,0.5
16,39,Robo,Sustracción de autopartes en la cuadra,-11.982173,-77.053629,Independencia,VERIFICADO,2026-06-08 07:39:00,2,1.0
17,37,Bache,Vía con múltiples baches tras las lluvias,-12.218739,-76.930309,Villa El Salvador,VERIFICADO,2026-05-04 03:07:00,1,1.0
18,35,Bache,Bache grande en plena avenida,-11.987505,-77.081312,San Martín de Porres,PENDIENTE,2026-05-12 04:14:00,2,0.5
19,28,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.98878,-77.091931,San Martín de Porres,RECHAZADO,2026-06-03 19:46:00,2,0.0
20,34,Acoso,Acoso callejero reiterado en la misma zona,-12.128745,-77.024501,Miraflores,PENDIENTE,2026-07-18 19:13:00,3,0.5
21,47,Acoso,Comentarios y seguimiento a una persona en la calle,-11.980192,-77.087967,San Martín de Porres,VERIFICADO,2026-05-20 15:13:00,2,1.0
22,19,Bache,Pista deteriorada genera accidentes,-12.165055,-76.93084,Villa María del Triunfo,VERIFICADO,2026-05-07 01:02:00,1,1.0
23,3,Alumbrado deficiente,Falta de iluminación en el paradero,-12.15128,-76.934519,Villa María del Triunfo,RECHAZADO,2026-06-17 16:23:00,1,0.0
24,16,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.087411,-77.044352,San Isidro,PENDIENTE,2026-06-17 02:28:00,0,0.5
25,3,Extorsión,Nota de extorsión dejada en el negocio,-11.971844,-76.998831,San Juan de Lurigancho,VERIFICADO,2026-07-22 04:29:00,5,1.0
26,50,Bache,Bache grande en plena avenida,-12.223615,-76.939683,Villa El Salvador,VERIFICADO,2026-05-22 19:39:00,1,1.0
