id,usuario_id,categoria,descripcion,latitud,longitud,distrito,estado,created_at
1,22,Vandalismo,Rotura de vidrios de un negocio,-12.222394,-76.92803,Villa El Salvador,PENDIENTE,2026-05-14 01:06:00
2,39,Vandalismo,Daño a mobiliario urbano,-11.977605,-77.084275,San Martín de Porres,VERIFICADO,2026-06-18 01:18:00
3,24,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.042384,-76.922142,Ate,PENDIENTE,2026-06-07 23:54:00
4,25,Vandalismo,Daño a mobiliario urbano,-12.043686,-77.045503,Cercado de Lima,PENDIENTE,2026-06-17 05:42:00
5,5,Acoso callejero,Un sujeto acosó a una mujer en la vereda,-12.024317,-77.038932,Rímac,VERIFICADO,2026-06-18 03:59:00
6,21,Robo,Me quitaron la mochila en el paradero,-12.154664,-76.928899,Villa María del Triunfo,RECHAZADO,2026-06-21 03:13:00
7,21,Accidente de tránsito,Auto impactó un poste,-12.058187,-77.109809,Callao,PENDIENTE,2026-06-28 02:08:00
8,35,Vandalismo,Pintas en la fachada de un local,-12.057844,-77.021712,La Victoria,VERIFICADO,2026-05-29 23:08:00
9,4,Asalto,Asalto a mano armada frente al parque,-12.214151,-76.927458,Villa El Salvador,PENDIENTE,2026-06-24 16:24:00
10,34,Vandalismo,Daño a mobiliario urbano,-12.021684,-77.04197,Rímac,VERIFICADO,2026-05-15 19:34:00
11,22,Asalto,Me asaltaron con arma blanca,-12.176305,-77.021726,Chorrillos,PENDIENTE,2026-06-03 23:48:00
12,20,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.219222,-76.940069,Villa El Salvador,PENDIENTE,2026-07-07 22:38:00
13,8,Alumbrado público deficiente,Poste sin luz hace varias semanas,-12.180211,-77.025983,Chorrillos,VERIFICADO,2026-07-12 23:05:00
14,35,Acoso callejero,Un sujeto acosó a una mujer en la vereda,-12.213505,-76.924363,Villa El Salvador,VERIFICADO,2026-05-22 03:55:00
15,35,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.17702,-77.017366,Chorrillos,PENDIENTE,2026-06-17 09:33:00
16,15,Asalto,Me asaltaron con arma blanca,-12.144579,-76.992022,Surco,VERIFICADO,2026-07-15 03:04:00
17,15,Asalto,Me asaltaron con arma blanca,-11.975007,-77.093583,San Martín de Porres,PENDIENTE,2026-05-31 04:31:00
18,37,Extorsión,Amenaza a comerciante local,-12.155408,-76.92885,Villa María del Triunfo,PENDIENTE,2026-05-25 01:42:00
19,27,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.978733,-77.075317,San Martín de Porres,PENDIENTE,2026-05-13 00:46:00
20,16,Accidente de tránsito,Choque entre dos vehículos en la avenida,-11.968174,-77.077996,Los Olivos,VERIFICADO,2026-05-24 04:15:00
21,29,Asalto,Me asaltaron con arma blanca,-11.979157,-77.084188,San Martín de Porres,VERIFICADO,2026-05-02 23:59:00
22,11,Pandillaje,Pandilla merodeando el parque por las noches,-12.056473,-77.110807,Callao,RECHAZADO,2026-05-08 02:00:00
23,30,Vandalismo,Rotura de vidrios de un negocio,-12.061868,-77.01509,La Victoria,PENDIENTE,2026-07-11 19:31:00
24,14,Robo,Me quitaron la mochila en el paradero,-12.037681,-77.035928,Rímac,RECHAZADO,2026-05-07 15:32:00
