id,usuario_id,categoria,descripcion,latitud,longitud,distrito,estado,created_at
56,37,Alumbrado deficiente,Farol malogrado en el parque,-12.065982,-77.121065,CALLAO,PENDIENTE,2026-06-19 21:53:00
41,12,Acoso,Acoso a estudiantes cerca del colegio,-11.876435,-77.074469,Puente Piedra,PENDIENTE,2026-06-14 20:20:00
20,7,Robo,Sustrajeron mi celular en la calle,-12.116536,-77.023988,Miraflores,VERIFICADO,14/05/2026 03:12:00
32,19,Acoso,Un sujeto acosó a una mujer en la vereda,-11.964548,-77.076728,,PENDIENTE,2026-07-21 21:32:00
99,35,Robo,Sustrajeron mi celular en la calle,-12.038605,-76.913012,Ate,PENDIENTE,2026-06-06 23:47:00
57,35,Acoso,Comentarios y seguimiento a una persona en la calle,-12.161335,-76.939541,VILLA MARÍA DEL TRIUNFO,VERIFICADO,2026-07-02 00:21:00
70,16,Alumbrado deficiente,Farol malogrado en el parque,-12.057137,-77.127755,Callao,PENDIENTE,2026-06-07 03:44:00
105,19,Bache,Hueco profundo sin señalizar,-11.964341,-77.004235,SAN JUAN DE LURIGANCHO,VERIFICADO,2026-06-05 00:55:00
82,4,Extorsión,Cobro de cupo a transportista,-12.173099,-77.014315,,VERIFICADO,2026-06-06 09:29:00
27,3,Acoso,Acoso a estudiantes cerca del colegio,-12.034916,-76.915027,Ate,PENDIENTE,2026-07-06 04:16:00
95,16,Acoso,Comentarios y seguimiento a una persona en la calle,-12.126429,-77.024489,Miraflores,VERIFICADO,2026-05-06 04:30:00
28,21,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.869284,-77.072966,Puente Piedra,VERIFICADO,2026-06-08 10:59:00
65,35,Alumbrado deficiente,Cuadra completamente oscura de noche,-12.105021,-77.032049,  San Isidro  ,PENDIENTE,2026-05-02 21:52:00
5,5,Acoso,Acoso a estudiantes cerca del colegio,-12.157617,-76.974004,San Juan de Miraflores,VERIFICADO,2026-06-29 06:59:00
97,7,Acoso,Comentarios y seguimiento a una persona en la calle,-12.056093,-77.049917,Cercado de Lima,PENDIENTE,2026-07-23 23:04:00
114,35,extorsión,Amenaza a comerciante local,-12.122027,-77.02659,Miraflores,VERIFICADO,2026-07-09 08:47:00
37,12,Alumbrado deficiente,Poste sin luz hace varias semanas,-11.980313,-76.99891,  San Juan de Lurigancho  ,VERIFICADO,2026-06-22 21:55:00
81,17,Acoso,Un sujeto acosó a una mujer en la vereda,-11.970397,-77.069909,Los Olivos,VERIFICADO,2026-07-22 02:17:00
14,6,Alumbrado deficiente,Poste sin luz hace varias semanas,-12.02374,-76.916046,Ate,RECHAZADO,2026-05-17 01:30:00
85,18,Acoso,Acoso a estudiantes cerca del colegio,-11.976938,-77.091496,San Martín de Porres,,2026-07-06 18:58:00
19,13,Robo,Me quitaron la mochila en el paradero,-11.93262,-77.048714,Comas,PENDIENTE,2026-06-22 10:46:00
11,22,Robo,Sustrajeron mi celular en la calle,-12.176305,-77.021726,Chorrillos,PENDIENTE,2026-06-03 23:48:00
119,9,Acoso,Un sujeto acosó a una mujer en la vereda,-11.86123,-77.084201,PUENTE PIEDRA,VERIFICADO,2026-05-04 01:22:00
12,20,Acoso,Un sujeto acosó a una mujer en la vereda,-11.975843,-77.06555,Los Olivos,VERIFICADO,2026-07-09 23:59:00
106,4,Acoso,,-12.049443,-77.110041,Callao,PENDIENTE,2026-05-30 16:22:00
46,21,Alumbrado deficiente,Farol malogrado en el parque,-12.047557,-77.048526,Cercado de Lima,VERIFICADO,2026-06-30 20:50:00
71,38,Bache,Pista deteriorada genera accidentes,-12.055031,-77.121225,Callao,PENDIENTE,2026-07-10 04:44:00
79,7,Extorsión,Amenaza a comerciante local,-11.973607,-77.079176,Los Olivos,PENDIENTE,31/05/2026 02:04:00
48,15,Extorsión,Amenaza a comerciante local,-12.226211,-76.938403,Villa El Salvador,PENDIENTE,2026-06-30 16:49:00
1,22,Bache,Pista deteriorada genera accidentes,-12.222394,-76.92803,Villa El Salvador,PENDIENTE,2026-05-14 01:06:00
13,39,Bache,Bache grande en plena avenida,-12.06571,-77.109518,  Callao  ,VERIFICADO,09/06/2026 03:15:00
43,13,bache,Hueco profundo sin señalizar,-12.074401,-77.016415,La Victoria,VERIFICADO,2026-06-12 17:42:00
102,40,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.047843,-77.125238,Callao,PENDIENTE,2026-06-29 18:29:00
25,4,Acoso,Un sujeto acosó a una mujer en la vereda,-12.056043,-77.111046,  Callao  ,PENDIENTE,21/05/2026 00:32:00
68,37,Acoso,Comentarios y seguimiento a una persona en la calle,-12.124372,-77.030114,Miraflores,PENDIENTE,2026-06-11 02:13:00
112,7,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.0656,-77.110415,Callao,PENDIENTE,2026-07-11 04:39:00
90,39,Extorsión,Amenaza a comerciante local,-12.162085,-76.978627,San Juan de Miraflores,RECHAZADO,2026-06-22 01:53:00
16,24,Alumbrado deficiente,Farol malogrado en el parque,-11.99177,-77.055042,Independencia,VERIFICADO,2026-05-09 04:37:00
78,29,Alumbrado deficiente,Farol malogrado en el parque,-12.167797,-77.010999,Chorrillos,VERIFICADO,2026-06-09 15:03:00
23,4,Extorsión,Cobro de cupo a transportista,-12.131057,-77.032192,Miraflores,RECHAZADO,2026-06-28 04:44:00
45,12,Acoso,Acoso a estudiantes cerca del colegio,-12.176878,-77.014125,  Chorrillos  ,VERIFICADO,2026-06-08 04:27:00
66,24,Alumbrado deficiente,Cuadra completamente oscura de noche,-12.21799,-76.928624,Villa El Salvador,RECHAZADO,2026-07-23 03:51:00
96,25,Extorsión,Amenaza a comerciante local,-12.046804,-77.125575,Callao,VERIFICADO,15/07/2026 04:06:00
31,36,Bache,Pista deteriorada genera accidentes,-11.927021,-77.053114,,VERIFICADO,2026-05-15 22:47:00
63,20,Robo,Me quitaron la mochila en el paradero,-11.965322,-77.005884,San Juan de Lurigancho,PENDIENTE,2026-06-18 07:45:00
75,7,Robo,Robaron una tienda cerca de mi casa,-12.175612,-77.021991,CHORRILLOS,RECHAZADO,2026-05-24 23:16:00
10,34,Bache,Hueco profundo sin señalizar,-12.021684,-77.04197,Rímac,VERIFICADO,2026-05-15 19:34:00
34,36,Alumbrado deficiente,Farol malogrado en el parque,-12.038707,-77.040695,RÍMAC,PENDIENTE,2026-05-20 14:53:00
67,30,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.870754,-77.08149,Puente Piedra,PENDIENTE,2026-05-12 04:28:00
26,5,Acoso,Acoso a estudiantes cerca del colegio,-12.029796,-76.921996,Ate,PENDIENTE,16/05/2026 23:36:00
116,7,Bache,Pista deteriorada genera accidentes,-12.020866,-77.029303,Rímac,RECHAZADO,2026-05-08 07:12:00
29,1,Alumbrado deficiente,Poste sin luz hace varias semanas,-11.944335,-77.051537,Comas,,2026-06-03 01:22:00
98,22,Acoso,Comentarios y seguimiento a una persona en la calle,-12.118103,-77.022965,Miraflores,VERIFICADO,2026-07-08 06:20:00
92,30,Acoso,Comentarios y seguimiento a una persona en la calle,-12.219028,-76.924863,Villa El Salvador,VERIFICADO,2026-07-05 20:08:00
54,35,Robo,Robaron una tienda cerca de mi casa,-12.223683,-76.935639,Villa El Salvador,PENDIENTE,2026-05-20 19:04:00
6,15,bache,Hueco profundo sin señalizar,-11.987619,-77.094358,San Martín de Porres,,10/06/2026 07:04:00
69,22,Bache,Hueco profundo sin señalizar,-11.866084,-77.076067,Puente Piedra,PENDIENTE,2026-05-25 01:46:00
74,35,Extorsión,Amenaza a comerciante local,-11.87629,-77.085309,Puente Piedra,VERIFICADO,2026-06-07 19:08:00
40,23,Acoso,Comentarios y seguimiento a una persona en la calle,-12.11751,-77.023127,Miraflores,VERIFICADO,2026-06-12 23:07:00
50,28,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.152218,-76.964982,San Juan de Miraflores,RECHAZADO,2026-06-29 00:15:00
36,7,bache,Bache grande en plena avenida,-12.021217,-77.034072,RÍMAC,RECHAZADO,2026-07-19 20:59:00
17,15,Robo,Me quitaron la mochila en el paradero,-12.029143,-76.925523,Ate,PENDIENTE,09/05/2026 22:55:00
80,29,Acoso,Un sujeto acosó a una mujer en la vereda,-12.060275,-77.12347,CALLAO,PENDIENTE,2026-06-06 19:29:00
35,10,,Farol malogrado en el parque,-12.225863,-76.936007,Villa El Salvador,,06/05/2026 22:13:00
86,28,Alumbrado deficiente,Cuadra completamente oscura de noche,-12.0339,-76.918533,Ate,PENDIENTE,2026-06-11 19:54:00
8,35,Bache,Bache grande en plena avenida,-12.057844,-77.021712,La Victoria,VERIFICADO,2026-05-29 23:08:00
